Rank_area,Rank_pop,Name,All sectors,sd,nodata,0,5,1,15,2,25,3,35,4,45,Agricultural,Domestic,Industrial
NA,1,Qom (Namak Lake),5.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11120718848.00,5.00,5.00,5.00
1,2,Yongding He,4.99,0.13,0.00,0.00,0.00,0.00,0.00,1855633.00,0.00,127772392.00,379690464.00,378451.00,55265185792.00,4.99,4.98,4.99
NA,3,Brantas,4.97,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,384080032.00,8244669440.00,4.97,4.96,4.95
2,4,Harirud,4.91,0.28,0.00,11727823.00,81208.00,0.00,0.00,13862793.00,0.00,0.00,382950112.00,1136361216.00,20575997952.00,4.92,4.79,4.95
NA,5,Tuhai He,4.90,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,468431008.00,0.00,5249613312.00,4.91,4.88,4.89
NA,6,Sabarmati River,4.83,0.27,0.00,0.00,0.00,0.00,760401.00,0.00,0.00,225925744.00,61457100.00,511737.00,10213038080.00,4.83,4.84,4.86
3,7,Helmand,4.83,0.31,0.00,8099637.00,0.00,0.00,0.00,0.00,5779861.00,868114.00,427721.00,1764180352.00,9822640128.00,4.83,4.87,4.81
5,8,Sirdaryo,4.78,0.53,0.00,9509811.00,0.00,0.00,0.00,475545472.00,0.00,1374304896.00,2543625984.00,2240817920.00,38312550400.00,4.76,4.96,4.76
NA,9,Rio Maipo,4.66,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1467870.00,140661.00,0.00,1888912000.00,4.66,4.66,4.66
NA,10,Dead Sea (Jordan),4.57,0.35,0.00,3096.00,0.00,0.00,0.00,0.00,0.00,27360940.00,242175584.00,11446295.00,2107436800.00,4.58,4.56,4.55
NA,11,Solo (Bengawan Solo),4.46,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12786319360.00,272061952.00,4.46,4.46,4.46
6,12,Indus,4.30,1.21,0.00,2997939456.00,2462558208.00,5746977280.00,3548567040.00,623905600.00,17823301632.00,853451712.00,23395686400.00,2217586944.00,128371000000.00,4.31,4.08,4.14
NA,13,Daliao He,4.19,0.37,0.00,0.00,0.00,2561884.00,0.00,0.00,0.00,1259843456.00,0.00,6183097344.00,5831130.00,4.27,4.33,4.01
7,14,Colorado River (Pacific Ocean),4.18,1.28,0.00,152121680.00,438269344.00,338803488.00,80184600.00,2261484544.00,0.00,339644960.00,157319360.00,1601163520.00,10770856960.00,3.97,4.24,4.48
NA,15,Palar River,4.15,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28976912.00,8744797.00,4738350592.00,28187282.00,4.15,4.15,4.15
9,16,Bravo,4.12,1.18,0.00,281016384.00,82386944.00,52622.00,7297.00,1103423360.00,1210690816.00,392103104.00,54943.00,1770026496.00,7569161728.00,4.08,4.23,4.23
10,17,Liao He,4.00,0.72,0.00,0.00,0.00,0.00,0.00,0.00,1263636352.00,4908385280.00,3784787456.00,41278312.00,7264901632.00,4.14,3.86,3.50
11,18,Huang He (Yellow River),4.00,1.03,0.00,236617312.00,2093711488.00,416795168.00,879090624.00,4291203584.00,573561920.00,4741974016.00,23554236416.00,2731768576.00,27330637824.00,4.07,3.91,3.87
15,19,Santiago,3.63,0.95,0.00,186106352.00,755058112.00,3175062.00,0.00,639862.00,340457344.00,39102336.00,8712201216.00,0.00,1575565568.00,3.68,3.39,3.56
NA,20,Cauvery River,3.57,0.10,0.00,87229.00,496947.00,2596480.00,0.00,1312273.00,121947832.00,1602886.00,17188182016.00,57362344.00,277850.00,3.57,3.58,3.58
NA,21,Thames,3.57,0.15,0.00,0.00,0.00,0.00,3170201.00,1644560.00,50875228.00,4125859.00,2224147712.00,0.00,599963.00,3.53,3.57,3.57
16,22,Narmada,3.56,0.17,0.00,0.00,0.00,0.00,2190752.00,6184898.00,33036692.00,34584400.00,24001828864.00,12163441.00,358740576.00,3.56,3.56,3.65
18,23,Tigris & Euphrates,3.54,1.15,0.00,2029986304.00,2028233600.00,1465347072.00,6340251136.00,7266149376.00,6023324672.00,25153357824.00,21583972352.00,447143.00,29981169664.00,3.60,3.35,2.98
NA,24,Penner River,3.53,0.28,0.00,0.00,0.00,0.00,0.00,338109.00,0.00,5549517312.00,9947904.00,6328391.00,194462240.00,3.53,3.51,3.53
NA,25,Mahi River,3.52,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5777483264.00,4993032.00,62434304.00,3.52,3.53,3.54
NA,26,Tejo,3.51,0.27,0.00,0.00,0.00,0.00,0.00,0.00,22824992.00,4510331904.00,49050884.00,0.00,200830880.00,3.52,3.48,3.52
NA,27,Delaware River,3.46,0.08,0.00,0.00,0.00,288726.00,1145969.00,15945232.00,0.00,5328075776.00,480809056.00,5695614.00,0.00,3.49,3.45,3.46
NA,28,Escaut (Schelde),3.40,0.09,0.00,0.00,0.00,1471982.00,2641340.00,0.00,8766207.00,3041009152.00,9339776.00,0.00,1289419.00,3.40,3.40,3.40
19,29,Ganges Brahmaputra,3.39,1.61,0.00,18212247552.00,35405582336.00,8957632512.00,6204711424.00,31245744128.00,50855608320.00,464533664.00,55876644864.00,11589320704.00,146913000000.00,3.43,2.89,3.24
20,30,Amudaryo,3.29,1.54,0.00,1257181952.00,5704026112.00,0.00,3450.00,9905684480.00,9807748096.00,6026199040.00,302968704.00,1360476544.00,21505380352.00,3.27,3.58,3.45
21,31,Kura,3.26,0.97,0.00,1267355.00,512910592.00,250977776.00,1032829.00,3335756032.00,180649808.00,6367847424.00,3283942656.00,0.00,3358933760.00,3.36,2.96,2.90
NA,32,Huangpu Jiang,3.26,1.19,0.00,1275065984.00,0.00,0.00,0.00,22635296.00,0.00,1377898368.00,8474934784.00,0.00,70710392.00,3.19,3.30,3.37
NA,33,Tone,3.23,0.33,0.00,0.00,0.00,0.00,60380.00,0.00,1313911.00,5055401472.00,0.00,304404416.00,93334448.00,3.21,3.27,3.20
22,34,Krishna,3.08,1.07,0.00,3036319232.00,4096626.00,0.00,6811247616.00,0.00,6057887232.00,20415522816.00,16241107968.00,211551.00,33385124.00,3.08,3.12,3.07
NA,35,Ob (Tobol),2.83,0.90,0.00,413326816.00,684352.00,121167.00,78054.00,190994.00,2684847104.00,1508138752.00,0.00,0.00,108455328.00,3.00,2.81,2.79
NA,36,Tapti River,2.81,0.26,0.00,95002.00,0.00,0.00,0.00,6721745.00,6603063296.00,0.00,20387268.00,3013893.00,85798680.00,2.81,2.84,2.81
23,37,Columbia River,2.78,1.98,0.00,5771372544.00,386246688.00,2202236928.00,602956864.00,1089259520.00,2110802176.00,1928632832.00,1435339520.00,372697632.00,8668305408.00,3.07,1.74,2.13
NA,38,Xitang He,2.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,5163977728.00,0.00,0.00,0.00,13766204.00,2.70,2.71,2.70
24,39,Limpopo,2.69,1.39,0.00,389147200.00,910967296.00,80865264.00,435254.00,168118512.00,2030249984.00,3499.00,0.00,1636679680.00,109100216.00,2.53,3.00,2.80
NA,40,Po,2.65,0.08,0.00,5967456.00,3757.00,12210269.00,0.00,234467.00,16079488000.00,0.00,0.00,13969171.00,0.00,2.65,2.65,2.65
28,41,Godavari,2.51,1.11,0.00,4484560896.00,125137728.00,2377084160.00,3637884416.00,4826502144.00,11125814272.00,5007984640.00,10831529984.00,19293.00,16904496.00,2.50,2.50,2.68
NA,42,Han-Gang (Han River),2.49,1.39,0.00,0.00,492409.00,7375160.00,2947720960.00,1229583.00,0.00,0.00,0.00,1380647.00,906053376.00,1.82,2.84,1.99
29,43,Mississippi River,2.44,1.76,0.00,33099522048.00,14552880128.00,10146404352.00,18199414784.00,10766089216.00,7037342208.00,18914416640.00,18715803648.00,10708793344.00,27811491840.00,3.35,1.69,1.76
NA,44,Weser,2.40,0.13,0.00,9260444.00,0.00,3014120.00,4270878.00,4078565888.00,47207156.00,1932066.00,0.00,0.00,0.00,2.38,2.40,2.41
30,45,Amur,2.38,1.41,0.00,8201914368.00,453831424.00,2811675648.00,1819105664.00,5560756736.00,4081604096.00,9978143744.00,3352231936.00,3061604864.00,693756480.00,2.40,2.38,2.33
31,46,Rio Balsas,2.35,1.31,0.00,866846720.00,939123968.00,571155200.00,440074.00,0.00,1630681984.00,1250096640.00,1489183872.00,0.00,61635.00,2.29,2.59,2.39
NA,47,Damodar River,2.26,1.33,0.00,1422323840.00,12448374.00,2130508672.00,4713603.00,0.00,0.00,4668952576.00,1426247.00,0.00,0.00,2.38,1.78,1.48
NA,48,Fuchun Jiang,2.24,0.41,0.00,1639532.00,9114268.00,5235025.00,43128.00,7760082944.00,2665025.00,210845488.00,123297112.00,0.00,117489512.00,2.27,2.25,2.21
NA,49,Meuse,2.06,0.95,0.00,375000224.00,0.00,1930543360.00,2134380.00,12468106.00,3582030080.00,58692184.00,0.00,0.00,0.00,1.27,1.74,2.11
NA,50,Taedong,2.03,1.05,0.00,1917987.00,730805760.00,92252568.00,229381248.00,0.00,0.00,872558784.00,0.00,0.00,0.00,2.10,1.70,2.25
34,51,St.Lawrence,2.00,1.56,0.00,11634493440.00,711106560.00,13067869184.00,1189547904.00,16630858.00,4612128256.00,8414982656.00,4932110336.00,2473473536.00,2546469888.00,2.79,1.56,2.12
35,52,Chao Phraya,1.97,0.79,0.00,2250878720.00,0.00,3156982016.00,0.00,12610666496.00,3099991808.00,0.00,0.00,0.00,0.00,1.97,2.00,2.02
NA,53,Dniestr,1.94,0.39,0.00,7142282.00,1408821.00,11404834.00,3010835200.00,2944003.00,0.00,0.00,0.00,0.00,46987512.00,2.03,1.89,1.90
37,54,Orange,1.91,1.53,0.00,965159424.00,107350384.00,1116567552.00,118911680.00,311585856.00,875165.00,464708640.00,562317056.00,3082557.00,203187904.00,2.07,1.70,1.66
NA,55,Seine,1.85,0.06,0.00,862453.00,642211.00,2645715.00,4527010816.00,0.00,4991418.00,11673.00,0.00,0.00,925554.00,1.85,1.85,1.85
NA,56,Brahmani River (Bhahmani),1.81,0.38,0.00,30350480.00,3116389.00,2836276.00,3590413824.00,2101235200.00,0.00,97962856.00,0.00,0.00,0.00,1.83,1.72,1.66
38,57,Don,1.73,1.14,0.00,3343091456.00,3580355.00,272930400.00,821075008.00,1024502720.00,5153856512.00,3012396.00,0.00,16442157.00,0.00,1.88,1.80,1.56
NA,58,Dong Jiang,1.73,0.19,0.00,2886115.00,5365862.00,41853.00,5243726336.00,0.00,0.00,61932092.00,0.00,0.00,0.00,1.72,1.75,1.73
39,59,Oder River,1.68,0.77,0.00,843897600.00,1673542.00,12580216.00,1948475520.00,2522122496.00,61895820.00,0.00,0.00,0.00,0.00,1.73,1.66,1.68
40,60,Mahanadi River (Mahahadi),1.66,1.15,0.00,9050890240.00,0.00,710966144.00,1530451072.00,2822071808.00,9301288960.00,762185.00,11048528.00,0.00,5363426.00,1.65,1.69,1.76
41,61,Yangtze River (Chang Jiang),1.62,1.48,0.00,74189365248.00,10729111552.00,13057501184.00,28005890048.00,5291536384.00,21236860928.00,17097436160.00,11912454144.00,15521502208.00,2069940736.00,1.69,1.57,1.36
42,62,Elbe River,1.61,1.09,0.00,2195343104.00,488770656.00,2440337664.00,1617665.00,23691236.00,3801773056.00,397378.00,0.00,0.00,0.00,0.88,1.58,1.67
43,63,Rhine,1.48,0.96,0.00,4776549376.00,1833592960.00,2307131136.00,6918963712.00,2768064000.00,10163777.00,2777637120.00,0.00,0.00,0.00,1.70,1.26,1.53
NA,64,Ganges,1.46,1.55,0.00,5727174144.00,0.00,30426160.00,0.00,0.00,0.00,5060583936.00,94354.00,0.00,0.00,1.57,1.01,0.71
NA,65,Song Dong Nai,1.32,1.20,0.00,1525404.00,1709264256.00,456294.00,0.00,0.00,0.00,664054784.00,33401152.00,0.00,951040.00,1.40,1.58,1.12
47,66,Volga,1.12,1.36,0.00,14252863488.00,596662016.00,2268870144.00,940896960.00,3232023552.00,1567168512.00,44655096.00,3106505728.00,125625960.00,8249546.00,0.97,1.51,0.99
NA,67,Subarnarekha River,1.09,0.64,0.00,25586756.00,1353427968.00,12710135.00,21778004.00,555474.00,0.00,0.00,0.00,3437414.00,33062366.00,1.13,1.01,1.00
NA,68,Min Jiang,1.08,0.12,0.00,425001.00,4419679.00,5791014400.00,0.00,105095.00,1269905.00,0.00,0.00,0.00,5259906.00,1.08,1.09,1.08
48,69,Awash Wenz,0.99,0.23,0.00,87438776.00,14844891.00,1739390336.00,0.00,744699.00,0.00,246471.00,0.00,0.00,123407.00,1.00,0.93,0.85
49,70,Loire,0.99,0.60,0.00,1701273216.00,376436672.00,3492034816.00,751944384.00,0.00,0.00,0.00,0.00,0.00,19838.00,1.04,0.86,1.00
50,71,Wisla,0.98,0.63,0.00,1904462720.00,17357332.00,4413419520.00,402272480.00,38803828.00,237641.00,0.00,0.00,0.00,0.00,1.14,0.97,0.96
51,72,Parana,0.96,1.37,0.00,18357614592.00,205807680.00,10048686080.00,172964304.00,358674528.00,0.00,952151872.00,489329152.00,0.00,2461009664.00,1.21,0.79,0.60
NA,73,Ob,0.96,1.16,0.00,2220801792.00,810867072.00,271776.00,351109.00,118387816.00,1067997696.00,0.00,0.00,890.00,21276512.00,0.46,1.01,1.00
52,74,Dniepr,0.92,0.99,0.00,13328831488.00,789931200.00,591262080.00,7486983168.00,62147380.00,1152310784.00,269853.00,0.00,15242333.00,395879040.00,0.86,0.82,0.98
53,75,Nile,0.86,1.25,0.00,24182837248.00,20109651968.00,2820430592.00,1118270720.00,1868124544.00,296757440.00,0.00,1222152832.00,0.00,2975448064.00,0.90,0.69,0.66
NA,76,Galana,0.82,0.08,0.00,2277985.00,495793792.00,2648505.00,0.00,468449.00,0.00,0.00,0.00,0.00,0.00,0.82,0.82,0.82
55,77,Danube,0.78,0.98,0.00,20710694912.00,966174208.00,4296207360.00,2188923392.00,5510218752.00,725312384.00,3569789.00,7843654.00,626200.00,3114795.00,0.46,0.71,0.85
56,78,Hong(Red River),0.73,0.58,0.00,2650792704.00,2424848640.00,2392605184.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.52,0.60
58,79,Yenisei,0.65,1.64,0.00,3228695552.00,209870336.00,0.00,0.00,0.00,222138.00,0.00,0.00,0.00,489500416.00,0.57,0.69,0.67
59,80,Lake Chad,0.60,0.92,0.00,2128685952.00,1649437312.00,0.00,277219296.00,49443060.00,0.00,0.00,0.00,0.00,132851200.00,0.71,0.48,0.30
61,81,Orinoco,0.59,1.00,0.00,3643050496.00,0.00,778369536.00,769804160.00,556047.00,1546841.00,0.00,0.00,18076698.00,113401552.00,0.81,0.44,0.49
65,82,Amazonas,0.53,0.78,0.00,7933077504.00,163310944.00,2832221184.00,799847552.00,432600320.00,41926376.00,4361757.00,7424132.00,12934680.00,8771983.00,0.71,0.29,0.35
66,83,Shebelle,0.51,0.81,0.00,2172196864.00,460627456.00,4549342.00,0.00,467252800.00,0.00,0.00,0.00,0.00,2660687.00,0.52,0.33,0.46
69,84,Rhone,0.43,0.55,0.00,4442611712.00,296886464.00,1746080640.00,1799035.00,1144122.00,1341108.00,0.00,0.00,693110.00,0.00,0.29,0.56,0.42
70,85,Salween,0.42,0.55,0.00,3005956096.00,499511328.00,1400566784.00,0.00,1173798.00,0.00,0.00,0.00,0.00,15976.00,0.44,0.33,0.36
71,86,Xi Jiang,0.41,0.46,0.00,13841128448.00,8260718592.00,3311639296.00,24234210.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.39,0.37
73,87,Mekong,0.34,0.44,0.00,24096397312.00,1469265920.00,5672361472.00,368.00,2837391.00,394170.00,872442.00,0.00,0.00,10251.00,0.34,0.38,0.37
74,88,Sao Francisco,0.25,0.57,0.00,6028527104.00,633116864.00,513371328.00,287565696.00,8276485.00,7374507.00,0.00,0.00,0.00,24263380.00,0.23,0.28,0.28
75,89,Irrawaddy,0.24,0.33,0.00,22730872832.00,1215160448.00,1456860928.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.20,0.33
76,90,Zambezi,0.23,0.41,0.00,4680329728.00,490077984.00,472180352.00,1306952.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.24,0.42
77,91,Niger,0.16,0.51,0.00,10861116416.00,210295904.00,0.00,999427328.00,0.00,0.00,0.00,0.00,0.00,37347700.00,0.20,0.08,0.14
NA,92,Air Musi,0.13,0.05,0.00,4581297664.00,20517208.00,153255.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.13
NA,93,Lagos,0.13,0.55,0.00,1069515072.00,23460092.00,0.00,0.00,0.00,46063456.00,0.00,0.00,0.00,0.00,0.02,0.14,0.11
78,94,Senegal,0.11,0.41,0.00,2906591744.00,0.00,0.00,137934896.00,2533102.00,0.00,0.00,0.00,0.00,681516.00,0.13,0.04,0.01
79,95,Lake Turkana,0.09,0.22,0.00,508365088.00,0.00,2734258.00,0.00,0.00,0.00,0.00,0.00,0.00,524441.00,0.10,0.07,0.07
83,96,Magdalena,0.01,0.22,0.00,10806450176.00,52978352.00,89408.00,8814020.00,0.00,0.00,0.00,0.00,0.00,19407254.00,0.02,0.01,0.01
84,97,Grisalva,0.01,0.13,0.00,1948782720.00,3310486.00,13179973.00,0.00,0.00,1155887.00,87667.00,0.00,0.00,80636.00,0.02,0.00,0.01
NA,98,Cross,0.01,0.09,0.00,482203328.00,4768318.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75145.00,0.00,0.01,0.01
87,99,Volta,0.00,0.07,0.00,1469846784.00,0.00,0.00,2460740.00,0.00,0.00,0.00,0.00,0.00,7992.00,0.00,0.00,0.00
88,100,Congo,0.00,0.06,0.00,2016883072.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,286103.00,0.00,0.00,0.00
4,NA,Balkhash,4.82,0.54,0.00,10503832.00,0.00,17251572.00,102831848.00,0.00,0.00,522800000.00,5132.00,10047332.00,9563399168.00,4.84,4.80,4.64
8,NA,Lake Mar Chiquita,4.13,1.17,0.00,91562464.00,6491040.00,4989005.00,0.00,621121408.00,0.00,292928576.00,0.00,0.00,2892798976.00,4.08,4.18,4.24
12,NA,Colorado (Argentinia),3.93,1.16,0.00,147435856.00,189106336.00,134937.00,0.00,0.00,632762432.00,10743.00,2587077376.00,35725.00,2698303232.00,3.94,4.13,3.63
13,NA,Brazos River,3.88,1.49,0.00,461399232.00,169551.00,166785200.00,0.00,387026848.00,2019178496.00,0.00,105056976.00,1583377.00,4410664448.00,4.56,2.76,2.79
14,NA,Murray,3.73,1.27,0.00,2108111360.00,208033472.00,0.00,271209888.00,105248.00,3898718208.00,914980224.00,12266949632.00,2949873152.00,9166519296.00,3.74,3.37,3.31
17,NA,Sacramento San Joaquin,3.54,1.58,0.00,2032616192.00,5172.00,2159.00,1684.00,1664678144.00,3380297728.00,732962624.00,405563.00,279876.00,9783000064.00,3.59,3.11,3.52
25,NA,Ural,2.62,1.46,0.00,343087872.00,232404400.00,0.00,634988288.00,516753568.00,19007520.00,0.00,759188096.00,0.00,378446016.00,2.61,2.56,2.63
26,NA,Churchill River,2.52,1.26,0.00,65237052.00,16688.00,0.00,4605432.00,0.00,326344064.00,0.00,0.00,0.00,43373144.00,2.83,2.47,2.52
27,NA,Douro,2.51,0.09,0.00,0.00,6270285.00,341931.00,22943.00,0.00,5390703616.00,13948215.00,1997948.00,3064316.00,158242.00,2.51,2.51,2.51
32,NA,Ob,2.21,1.55,0.00,3526948096.00,1414712576.00,785944128.00,971191744.00,267542416.00,3753746176.00,1508138752.00,835805056.00,1408695936.00,1047247744.00,2.90,1.78,1.90
33,NA,Cunene,2.05,2.46,0.00,78368512.00,0.00,48020.00,0.00,0.00,0.00,0.00,0.00,0.00,54402144.00,0.00,0.93,2.93
36,NA,Nelson River,1.94,1.28,0.00,3115772160.00,1263644160.00,1034645888.00,3115684608.00,935741376.00,1043933120.00,1460540544.00,3238795776.00,17875732.00,2290472.00,2.68,1.96,1.65
44,NA,Neman,1.22,0.08,0.00,7719765.00,6430540.00,2858285056.00,5996003.00,1682121.00,0.00,0.00,0.00,0.00,0.00,1.23,1.22,1.22
45,NA,Rufiji,1.15,0.75,0.00,295286528.00,0.00,60313720.00,657933184.00,0.00,0.00,0.00,0.00,0.00,143988.00,1.22,0.51,0.64
46,NA,Tana,1.13,0.04,0.00,710360.00,9959218.00,1180350720.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.14,1.13,1.13
54,NA,Save,0.83,0.67,0.00,706115328.00,506557.00,42093.00,541129792.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.73,1.33
57,NA,Lena,0.72,1.75,0.00,264942336.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44402612.00,0.59,0.45,0.78
60,NA,Okavango,0.59,1.61,0.00,176821072.00,1043595.00,84389.00,0.00,0.00,0.00,0.00,0.00,0.00,23741256.00,0.15,1.10,0.47
62,NA,Alabama River & Tombigbee,0.59,0.58,0.00,2649632512.00,242269536.00,863299264.00,432059296.00,16964372.00,0.00,0.00,0.00,0.00,0.00,0.51,0.64,0.58
63,NA,Mackenzie River,0.58,1.07,0.00,1845185152.00,777450176.00,113618240.00,127343296.00,0.00,1200281.00,0.00,0.00,0.00,135285936.00,0.38,0.50,0.59
64,NA,Uruguay,0.56,0.58,0.00,4338302464.00,909421.00,3361875456.00,855321088.00,822734.00,0.00,0.00,0.00,0.00,0.00,0.62,0.14,0.14
67,NA,Churchill (Atlantic),0.51,0.87,0.00,41777652.00,0.00,0.00,0.00,14015513.00,0.00,0.00,0.00,0.00,0.00,-,0.16,0.53
68,NA,Negro (Argentinia),0.47,0.83,0.00,1396223616.00,1023710.00,401313344.00,30373.00,36216.00,4210.00,0.00,0.00,0.00,43740592.00,0.41,0.89,0.62
72,NA,Fraser River,0.39,0.68,0.00,964300224.00,334064608.00,0.00,0.00,137881312.00,0.00,0.00,0.00,0.00,0.00,0.25,0.66,0.28
80,NA,Sanaga,0.03,0.39,0.00,164764096.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1010207.00,0.24,0.01,0.00
81,NA,Rio Salado (Rio De La Plata),0.03,0.17,0.00,481455808.00,10414014.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,275061.00,0.01,0.03,0.03
82,NA,Rovuma,0.02,0.29,0.00,69798384.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,243877.00,0.00,0.02,0.00
85,NA,Lake Titicaca,0.00,0.09,0.00,967146432.00,0.00,288529.00,7329.00,127441.00,109804.00,8843.00,27461.00,0.00,227828.00,0.00,0.01,0.00
86,NA,Rio Parnaiba,0.00,0.05,0.00,1206727936.00,0.00,1276326.00,0.00,0.00,0.00,0.00,0.00,0.00,41739.00,0.00,0.00,0.01
89,NA,Cuanza,0.00,0.03,0.00,257763968.00,242507.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
90,NA,Moose River (Trib. Hudson Bay),0.00,0.00,0.00,254688512.00,0.00,1566.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91,NA,Essequibo River,0.00,0.00,0.00,57841236.00,371.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
92,NA,Albany River,0.00,0.00,0.00,246689696.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
92,NA,Bandama,0.00,0.00,0.00,721046144.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
92,NA,Grande Riviere,0.00,0.00,0.00,31202432.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
92,NA,Hayes River (Trib. Hudson Bay),0.00,0.00,0.00,28658088.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
92,NA,Ogooue,0.00,0.00,0.00,68096584.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
92,NA,Riviere Koksoak,0.00,0.00,0.00,12607433.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00
92,NA,Riviere Saguenay,0.00,0.00,0.00,533245248.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
92,NA,Severn River (Trib. Hudson Bay),0.00,0.00,0.00,9917853.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
92,NA,Tocantins,0.00,0.00,0.00,2678518784.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
