Rank,Name,All sectors,sd,nodata,0,5,1,15,2,25,3,35,4,45,Agricultural,Domestic,Industrial
1,Antigua and Barbuda,5,0,0,0,0,0,0,0,0,0,0,0,8026709,5,5,5
1,Bahrain,5,0,0,0,0,0,0,0,0,0,0,0,413053888,5,5,5
1,Barbados,5,0,0,0,0,0,0,0,0,0,0,0,69750728,5,5,5
1,Comoros,5,0,0,0,0,0,0,0,0,0,0,0,11226803,5,5,5
1,Cyprus,5,0,0,0,0,0,0,0,0,0,0,0,97815136,5,5,5
1,Dominica,5,0,0,0,0,0,0,0,0,0,0,0,4829325,-,5,5
1,Jamaica,5,0,0,0,0,0,0,0,0,0,0,0,812865600,5,5,5
1,Malta,5,0,0,0,0,0,0,0,0,0,0,0,49969988,5,5,5
1,Qatar,5,0,0,0,0,0,0,0,0,0,0,0,667574400,5,5,5
1,Saint Lucia,5,0,0,0,0,0,0,0,0,0,0,0,6852419,5,5,5
1,Saint Vincent and the Grenadines,5,0,0,0,0,0,0,0,0,0,0,0,3591320,-,5,5
1,San Marino,5,0,0,0,0,0,0,0,0,0,0,0,901388352,5,5,5
1,Singapore,5,0,0,0,0,0,0,0,0,0,0,0,2570737152,-,5,5
1,Trinidad and Tobago,5,0,0,0,0,0,0,0,0,0,0,0,314478336,5,5,5
1,United Arab Emirates,5,0,0,0,0,0,0,0,0,0,0,0,5566038528,5,5,5
1,Western Sahara,5,0,0,0,0,0,0,0,0,0,0,0,6427,-,5,-
17,Saudi Arabia,4.99,0.18,0,36074040,0,0,0,0,0,31439888,0,208745,31688722432,5,4.93,5
18,Kuwait,4.96,0.17,0,0,0,0,0,0,0,0,0,46097000,1104219648,4.97,4.97,4.9
19,Oman,4.91,0.27,0,0,0,0,0,0,0,0,85766456,33138668,1312025728,4.91,4.95,4.94
20,Libya,4.84,0.64,0,71367072,0,0,24805848,0,3222298,50510164,302412672,70761024,5603730432,4.9,4.51,4.83
21,Israel,4.83,0.25,0,3096,0,0,0,0,0,0,15768793,393970176,2122709888,4.81,4.86,4.79
22,Kyrgyzstan,4.82,0.37,0,0,0,0,20758,0,0,174093792,0,1013225344,8829151232,4.82,4.91,4.89
23,East Timor,4.81,0.48,0,0,0,0,0,0,62535,0,150737680,0,915272064,4.8,4.85,4.98
24,Iran,4.78,0.58,0,148175088,232365152,0,1085979264,21825078,80119824,2642667520,579405760,3902476544,80784228352,4.79,4.76,4.61
25,Yemen,4.67,0.8,0,129436448,0,0,0,52511280,0,53346148,0,1018206080,4716767744,4.69,4.63,3.92
26,Palestine,4.63,0.5,0,0,0,0,0,0,0,0,84922864,25624112,370177056,4.69,4.6,4.65
27,Jordan,4.59,0.44,0,0,0,0,0,0,0,28005288,146166480,0,1007273792,4.57,4.64,4.58
28,Lebanon,4.54,0.52,0,0,0,0,0,0,0,0,375463040,218022944,731776960,4.42,4.75,4.6
29,Somaliland,4.38,0.96,0,21035920,0,0,0,0,0,88692536,0,256538816,364347360,4.38,3.77,4.47
30,Uzbekistan,4.32,1.34,0,836254784,2641252096,0,0,5507335680,4392543744,31270,588003,165854144,48466202624,4.29,4.53,4.53
31,Pakistan,4.31,1.27,0,3814144256,2479156992,6851251200,3508328704,624829376,14129655808,819655424,14553010176,1869255936,1.34362E+11,4.33,4.14,4.12
32,Turkmenistan,4.3,1.32,0,72622752,1155048320,0,0,3477551360,60607164,0,0,927366464,18363017216,4.3,4.13,4.35
33,Morocco,4.24,1.03,0,39806856,120378832,178809920,144266208,1265349888,66924640,570057920,3065224960,285706688,8299119104,4.28,3.99,4.01
34,Mongolia,4.05,1.96,0,131044336,5695912,0,0,0,0,0,0,1524875,575777536,3.23,4.17,4.82
35,Kazakhstan,4.02,1.24,0,775872256,654091712,500917280,2067153920,1218213376,667752576,1912361728,4767767552,4636666880,17954678784,4.07,3.79,3.8
36,Afghanistan,4.01,1.25,0,406187776,1222424064,0,88762,1225130240,6253137408,2555618048,379398368,2558601728,18033031168,4.01,3.64,3.89
37,Lesotho,3.97,0.17,0,734,240150,0,1759,7199,0,0,93952248,0,0,3.98,3.98,3.94
38,Syria,3.85,1.26,0,795887936,0,0,304722112,3372065792,0,173624592,9144484,3165880832,9942785024,3.86,3.79,3.83
39,Spain,3.73,1.03,0,81451088,676567296,376744864,555926144,37505784,3742433024,12133052416,1034505344,4736492032,8733244416,3.71,3.84,3.67
40,India,3.58,1.44,0,50728914944,13495705600,16474809344,24067459072,34846162944,88243462144,51171672064,1.54995E+11,36996063232,2.89173E+11,3.63,3.08,3.44
41,South Korea,3.54,1.29,0,0,1365517,283973632,2872224768,6132118016,912227840,1049646144,1298872320,1687999872,8278979072,3.44,3.52,3.85
42,Tajikistan,3.53,1.28,0,262401632,711312256,0,0,0,2889449728,3349312256,0,1342307840,4161342720,3.55,3.44,3.22
43,Mexico,3.52,1.49,0,6748774400,1916620800,1743786368,690583680,2576335360,6322370048,13775307776,13504738304,2693055488,29686495232,3.71,2.87,2.86
44,Australia,3.51,1.52,0,5250829824,1224791808,465193504,995613440,1006610496,5238559744,2720169728,15690941440,3829056000,16630330368,3.5,3.66,3.45
45,Dominican Republic,3.49,0.89,0,52207664,0,0,178691664,93847240,1562321664,1538270720,746198208,165393088,1764360320,3.62,3.19,3.11
46,Iraq,3.48,1.01,0,1447818240,2055352704,0,2272141824,1090837632,6006758400,24875212800,21604988928,0,10911583232,3.54,3.37,3.05
47,Algeria,3.44,1.3,0,323299200,0,73294936,282083744,208195680,2911532288,438520992,257431584,593151360,2199006976,3.39,3.36,3.73
48,Tunisia,3.44,0.96,0,6476977,0,295363072,0,6230672,926141184,295570208,1130373120,482800544,477077984,3.41,3.56,3.64
49,Vatican,3.4,0,0,0,0,0,0,0,0,494591,0,0,0,3.4,3.4,3.4
50,Azerbaijan,3.39,0.89,0,1053,173249744,0,19748030,1253432576,23654844,7196027392,862433664,0,2347336448,3.23,3.5,3.79
51,Djibouti,3.39,2.33,0,8285613,0,86398,0,0,0,0,0,0,17585248,1.99,3.9,4.83
52,Italy,3.35,1.11,0,179777920,247191744,1755117440,511581824,1982875264,18830635008,6503931392,2333692672,2513081344,10964171776,3.21,3.57,3.41
53,Portugal,3.34,0.78,0,0,77335392,0,178868416,64067648,3139335936,3245270016,1263205632,547227520,1164106112,3.2,3.67,3.48
54,Philippines,3.33,1.02,0,152885712,639367360,3953360384,2476978688,503186560,22124562432,17864452096,15228688384,2897155840,13408343040,3.35,3.31,3.24
55,Andorra,3.33,0.43,0,0,0,0,3507322,0,0,51549892,0,0,0,3.44,3.29,3.21
56,Greece,3.27,1.04,0,66567384,92704912,222708112,709588160,249989968,2215971328,827085696,2730584320,0,1297283840,3.27,3.27,3.26
57,Indonesia,3.26,1.81,0,27280599040,5908681728,4916238848,3483814656,5607336960,8136689152,16847913984,13545748480,21389144064,59253174272,3.44,2.98,2.64
58,Chile,3.21,1.33,0,600966848,31003492,31939226,2342374656,1023686848,2445395968,1459196800,288015104,0,4100943104,3,3.64,3.45
59,Peru,3.2,1.79,0,2526941952,0,2818506496,1186559104,726160704,508371616,1080382208,2456878080,2115113216,6938662912,3.23,2.75,3.31
60,Cuba,3.19,0.94,0,31915120,20383538,370735712,476384224,722639424,991586304,999622592,2903799296,0,732431168,3.19,3.18,3.22
61,Belgium,3.16,0.49,0,4424389,0,133837856,3447191,47563888,2372067072,3930347008,255354688,0,100159768,3.08,3.25,3.16
62,Swaziland,3.11,1.61,0,0,491373,418420608,0,73195672,0,0,0,0,424662880,3.19,2.19,2.14
63,Armenia,3.07,0.76,0,0,116768200,0,0,590762624,171300688,425753,1570004096,0,0,3.07,3.05,3.21
64,Japan,3.05,1.09,0,2414059008,1282713216,1271549824,8638525440,6002709504,12464990208,16437952512,14467342336,4233697792,8633236480,2.94,3.25,3.23
65,South Africa,3.04,1.51,0,1210611456,1136528384,1472444032,699882048,2048785536,2086946176,1043917568,2149542656,2518597376,3365948672,3.19,2.69,3.29
66,Turkey,3.02,0.94,0,71351768,765543936,2026663168,4614427648,5588880384,5713654272,11068917760,5975417344,4760678400,2368231936,3,3.09,3.02
67,Eritrea,3.02,1.14,0,2295420,0,2137558,152941472,0,127060944,0,158351552,0,89676360,3.05,2.69,3.87
68,Sri Lanka,3.01,1.12,0,317659392,408414464,273227904,2301193472,1302440704,1480375168,685021056,2819891712,2677941760,213395424,3.1,2.28,2.65
69,China,2.94,1.85,0,1.09518E+11,28737243136,33627226112,40255770624,27368417280,43568275456,43694923776,60049063936,35459198976,2.04522E+11,3.01,2.61,2.94
70,Ireland,2.92,1.96,0,599541760,240638368,210891920,199846048,258650560,8205957,0,468604800,86011712,1162057088,3.38,1.82,1
71,United States of America,2.89,1.68,832871744,57285619712,20267110400,21292480512,32551886848,46078050304,49199026176,42264735744,32050321408,25968930816,1.13275E+11,3.49,2.75,2.47
72,Estonia,2.75,1.79,0,19549420,642733568,30891550,0,151800672,47028056,0,0,331325344,402134528,1.34,3.03,2.74
73,Monaco,2.66,0,0,0,0,0,0,0,615966464,0,0,0,0,2.66,2.66,2.66
74,Macedonia,2.65,0.6,0,0,66493028,0,19581600,1521977,895985984,0,86385896,0,0,2.74,2.58,2.58
75,United Kingdom,2.63,1.23,0,1186107776,784002560,958304192,1043406400,2586523904,1648691584,3223554048,2288905216,493013280,854754048,2.69,2.7,2.54
76,Argentina,2.51,2.11,0,11652377600,1036836992,1854906496,231691120,1009130304,1086865152,1254205440,3911496960,226174496,11677316096,2.89,2.16,1.8
77,Luxembourg,2.51,0.09,0,0,0,0,0,134540080,15653549,0,0,0,0,2.5,2.52,2.5
78,Nepal,2.4,0.89,0,625964736,6236,0,0,7474602496,0,0,2289308672,0,0,2.4,2.49,2.55
79,Haiti,2.38,0.49,0,0,0,0,388774656,564728576,575108032,6808944,0,0,0,2.39,2.35,2.28
80,Venezuela,2.3,1.94,0,3301907968,307862944,1371128832,1603305088,199996528,499466176,630820992,0,934990784,2707976704,1.83,2.63,2.08
81,Ukraine,2.1,1.77,0,12368107520,595372544,908729280,6456710144,3250484480,4566224384,517043072,100473760,977644864,7091981312,2.55,1.85,1.53
82,Malaysia,2.09,1.92,0,6196069888,681971968,852086464,612672576,784133376,2891108864,447292992,858314112,0,3620825856,1.93,2.14,2.2
83,North Korea,2.06,1.11,0,276604416,1308015232,2001266944,894236416,42590876,1060235392,1940893568,327736864,0,234322672,2.07,1.86,2.19
84,Costa Rica,1.94,1.61,0,1568041600,12508778,152868448,934203904,653731008,472238336,149426000,0,750151104,121748384,1.83,2.3,1.67
85,Germany,1.9,1.09,0,7428450304,1165174,3191774464,6450988032,11352525824,5923747328,3019388160,20065014,0,623899712,1.62,1.74,1.93
86,Albania,1.9,1.02,0,171563696,436352896,83536080,490853760,259583920,0,556003456,9907964,0,0,1.71,2.12,1.97
87,Namibia,1.88,2.42,0,211850384,0,0,0,0,0,0,0,0,127914936,1.63,1.97,3.5
88,Ecuador,1.86,1.3,0,3277353728,0,2698745600,5530174976,624709952,442962880,1557801984,1383547136,1091239808,251708032,1.9,1.69,1.39
89,Guyana,1.78,1.76,0,401644544,248006496,0,273853056,168190512,0,0,0,0,260671008,1.86,0.95,1.08
90,France,1.75,1.41,0,6596060160,1754286848,6982112768,9296551936,2183665664,1082473728,1074595072,118035488,149443728,3569657600,1.27,1.62,1.89
91,Netherlands,1.73,1.31,0,43227680,0,8169595904,1520517,0,322594176,58821584,1055057216,0,796252928,1.73,1.58,1.75
92,Thailand,1.7,1.1,0,13957319680,1764123136,9794546688,228734816,27742787584,5290138112,694941632,0,750276096,868939520,1.73,1.4,1.49
93,Gabon,1.56,2.32,0,95962608,0,0,0,0,0,0,0,0,43480440,0.17,1.9,1.15
94,Angola,1.54,2.14,0,954158336,136979040,60500584,0,26976368,0,31738248,27347528,0,412170272,1.19,0.56,2.46
95,Georgia,1.51,0.96,0,570264128,20172038,9812042,15242481,1343157376,0,0,0,0,0,1.62,1.32,1.46
96,United Republic of Tanzania,1.5,1.26,0,1656010240,44431304,65461424,660906496,1851894528,93937992,0,0,0,139361840,1.64,0.82,2.61
97,El Salvador,1.49,1.57,0,824557440,53968404,0,0,0,0,0,393891232,0,25626,1.74,1.34,1.22
98,Moldova,1.46,0.95,0,469009344,38296948,8409282,1358722560,0,0,0,0,0,34926916,1.39,1.37,1.52
99,Botswana,1.36,1.78,0,87586016,39396744,51956924,5206572,0,0,0,0,0,42816336,0.83,1.76,1.19
100,New Zealand,1.35,1.62,0,1988221568,181762592,5406968,315584864,79712648,752873088,0,0,0,413448800,1.05,1.98,1.35
101,Belize,1.35,1.96,0,195448640,122508400,0,7627296,0,0,0,11155575,0,85557024,2.82,3.11,0.88
102,Egypt,1.33,1.55,0,10078585856,41806729216,0,0,0,0,0,0,0,8867512320,1.33,1.1,1.56
103,Poland,1.31,0.81,0,2668209664,292040736,3888315136,2474336768,2571079936,46375864,11711041,0,0,43603624,1.45,1.22,1.33
104,Sweden,1.3,1.56,0,1263576832,603220416,98523264,248537104,170713504,68985280,1449023,289641600,0,237096880,1.07,1.12,1.42
105,Kosovo,1.29,0.64,0,72506,210714576,0,264797312,0,32312054,0,0,0,0,1.21,1.27,1.31
106,Bulgaria,1.27,1.44,0,3359668480,63518584,2172154,216900640,607634,1904590336,193445824,329800576,69690864,8717697,1.67,1.52,1.11
107,Madagascar,1.25,1.32,0,8751119360,921478400,4616365056,4466537984,136113568,340758112,334208160,160052464,0,1691569280,1.24,0.87,1.73
108,Russia,1.23,1.45,0,39267307520,3722541568,6495260672,8346890752,5658266624,6491395072,2499456512,3465736192,532226784,3687750144,1.58,1.41,1.1
109,Canada,1.21,1.31,0,19666454528,3129950976,11297892352,3237843456,2270029312,720918912,1493828224,5667325952,89193760,576992064,2.35,0.92,1.16
110,Lithuania,1.19,0.35,0,62292124,219874272,2064766976,0,103482176,0,0,0,0,0,1.13,1.22,1.19
111,Czech Republic,1.13,0.46,0,163428112,484989888,1205346176,181637424,7337732,4072729,0,0,0,0,1.14,1.08,1.17
112,Switzerland,1.06,0.47,0,513602240,1650958848,432874976,433145792,0,110327592,0,0,0,0,1.24,1.03,1.08
113,Guatemala,1.01,1.22,0,2030276480,35863048,1063394432,0,407832000,0,6323358,374022080,0,29759808,1.13,0.41,1.17
114,Nicaragua,1.01,1.32,0,993580480,0,138460336,0,0,504699776,0,0,0,264457,1.14,0.7,1.06
115,Vietnam,1.01,1.11,0,39181189120,3104062208,16225395712,1041613824,577221120,2628449024,6965193216,186233952,0,1060170304,0.98,1.12,1.41
116,Finland,0.98,1.14,0,936005888,433127136,118798320,85747416,105906936,276588992,12308944,18749470,0,32704276,1,1.27,0.9
117,Denmark,0.95,1.02,0,352156192,0,0,52304076,229869472,0,0,0,0,3145131,0.44,1.28,1.01
118,Brazil,0.91,1.18,0,37804507136,4545598976,17797332992,3010448896,3380361728,2176471040,667827200,932979136,1469835392,1760560256,0.85,1.08,0.9
119,Sudan,0.91,1.05,0,10122739712,10130861056,2831606528,1328155648,1839899904,307115616,0,1024767360,0,521725984,0.93,0.9,0.72
120,Uruguay,0.86,0.91,0,975286848,0,806953408,242325424,0,221285376,0,0,0,19364722,0.78,1.12,1.05
121,Romania,0.84,0.9,0,3132107520,593135808,2236310272,0,0,856771392,0,0,2238328,18141600,0.71,1,0.81
122,Mozambique,0.82,1.55,0,917337856,28130032,7609234,52571,147187232,26883124,544049,0,0,109760816,0.64,0.79,2.14
123,Kenya,0.68,0.64,0,1145725184,541940992,1182642816,0,20830856,0,0,0,0,19959148,0.77,0.44,0.71
124,Bolivia,0.68,1.01,0,1677105664,164624912,213443040,156402672,434691840,0,0,0,0,34352680,0.74,0.54,0.75
125,Bangladesh,0.65,0.76,0,7748429824,25573316608,0,0,381335456,1369527168,115689968,0,0,429245728,0.64,0.69,0.82
126,Zimbabwe,0.64,0.61,0,1826521472,412064256,477088832,548356032,0,0,0,0,0,0,0.61,0.56,0.88
127,Ethiopia,0.61,0.72,0,3211920896,475116960,2589060608,10913371,217260112,0,10661,32665694,0,24195554,0.64,0.43,0.61
128,Mauritania,0.6,1.47,0,1298832256,0,0,88225864,66744,0,0,0,0,140604048,0.48,1.02,3.41
129,Papua New Guinea,0.6,1.43,0,488437408,0,0,0,29246350,0,0,0,0,48975512,-,0.61,0.58
130,Belarus,0.59,0.61,0,2815415552,474622496,1299509504,314281344,0,0,0,0,0,0,0.67,0.57,0.58
131,Republic of Serbia,0.58,0.8,0,2368243456,29269,0,1227391104,0,10017741,0,5898675,0,0,0.25,0.75,0.56
132,Equatorial Guinea,0.54,1.48,0,26329380,0,0,0,0,0,0,0,0,2889186,-,0.56,0.38
133,Chad,0.52,1.36,0,521730080,0,31093,0,49839324,0,0,0,0,43415896,1.03,0.12,0.22
134,Sierra Leone,0.51,1.22,0,579968960,0,0,81840864,0,0,0,0,0,38101912,0.5,0.34,0.82
135,Hungary,0.49,0.66,0,4562496000,74106264,739482432,653992448,0,0,0,0,0,0,0.61,0.53,0.46
136,Liechtenstein,0.46,0,0,44686568,0,0,0,0,0,0,0,0,0,-,0.46,0.46
137,Somalia,0.46,0.87,0,1567480192,0,0,0,268396944,0,0,0,0,19339332,0.44,1.5,4.2
138,Bhutan,0.45,0.29,0,143844480,336380576,0,0,0,0,0,0,0,0,0.47,0.41,0.54
139,Cambodia,0.44,0.94,0,2723714560,1345384,8098871,0,24526,0,317683072,0,0,0,0.45,0.38,0.19
140,Republic of the Congo,0.43,1.4,0,95748616,0,0,0,0,0,0,0,0,8953667,0.04,0.13,1.13
141,Panama,0.42,0.7,0,730198976,0,326787808,6738255,0,0,0,0,0,8563050,0.18,0.75,0.65
142,Gambia,0.42,0.39,0,58746028,66749984,0,0,0,0,0,0,0,0,0.01,0.4,0.68
143,Norway,0.4,0.91,0,2007104000,23371338,17186380,14708130,81201144,266699056,0,0,0,7022109,0.28,0.68,0.23
144,Latvia,0.35,0.55,0,266722416,119633888,24246496,0,2440692,7615091,0,0,0,0,0.33,0.37,0.34
145,Colombia,0.33,1.14,0,14727778304,315576672,140754800,403204864,0,0,0,0,0,875850496,0.34,0.31,0.32
146,Austria,0.32,0.59,0,2813809408,196188,585171328,0,47558600,0,0,0,0,0,0.9,0.29,0.31
147,Montenegro,0.31,0.38,0,89901816,68555544,0,5408578,0,0,0,0,0,0,0.38,0.26,0.4
148,Myanmar,0.3,0.53,0,35559256064,4640540160,2439276032,100921264,1230232064,0,0,0,58404,78006840,0.27,0.39,0.62
149,Nigeria,0.29,0.67,0,9905423360,2054705920,0,820632704,0,75244824,0,0,0,131266400,0.51,0.19,0.13
150,Liberia,0.27,0.7,0,275687104,0,59808060,0,0,0,0,0,0,4237969,0,0.19,0.65
151,Suriname,0.25,0.61,0,433515744,0,0,74134192,0,0,0,0,0,0,0.29,0.01,0.09
152,Senegal,0.21,0.63,0,1996638336,3668332,0,42725272,168276384,0,0,0,0,0,0.15,0.61,0.91
153,Mali,0.2,0.61,0,4217819392,203538288,0,449471392,0,0,0,0,0,31274060,0.21,0.21,0.15
154,Slovakia,0.2,0.41,0,866714112,60088544,76558000,30142,0,0,0,0,0,0,0.19,0.25,0.17
155,Guinea Bissau,0.17,0.33,0,86728280,22377512,0,0,0,0,0,0,0,0,0.03,0.16,0.7
156,Iceland,0.14,0.1,0,99422840,0,0,0,0,0,0,0,0,0,-,0.15,0.06
157,Togo,0.12,0.35,0,208838544,0,24550244,0,0,0,0,0,0,0,0,0.14,0.48
158,Niger,0.11,0.74,0,1628488448,0,0,0,0,0,0,0,0,37083968,0.07,0.11,0.95
159,Ghana,0.11,0.4,0,1117724672,17183528,3400012,71867480,0,0,0,0,0,123260,0.04,0.11,0.27
160,Cameroon,0.11,0.63,0,764722368,21083952,0,3940997,0,0,0,0,0,12235336,0.06,0.14,0.12
161,Malawi,0.11,0.26,0,1244141824,204761920,0,0,0,0,0,0,0,0,0.12,0.05,0.08
162,Taiwan,0.1,0.71,0,13971689472,0,0,0,0,0,0,0,0,291251456,0.19,0.11,0.06
163,Zambia,0.08,0.17,0,2582767872,8013,0,0,0,0,0,0,0,0,0.07,0.06,0.17
164,Honduras,0.07,0.16,0,1648441984,35875708,76483,0,0,13611,0,0,0,0,0.06,0.09,0.06
165,Guinea,0.06,0.14,0,1507506560,14167966,0,0,0,0,0,0,0,0,0.07,0.02,0.03
166,Ivory Coast,0.04,0.37,0,1906249856,0,1247623,0,24642372,0,0,0,0,5958235,0.01,0.05,0.07
167,Slovenia,0.03,0.07,0,987287936,83846,28020,0,212722,0,0,0,0,0,0.12,0.04,0.03
168,Bosnia and Herzegovina,0.02,0.14,0,397625344,0,0,0,1933759,0,0,0,0,0,0.01,0.02,0.01
169,Croatia,0.02,0.15,0,611094208,0,0,0,3293034,0,0,0,0,0,0.02,0.02,0.01
170,Laos,0.01,0.05,0,3432877312,41150,3032292,0,0,0,0,0,0,0,0.01,0.02,0.01
171,Paraguay,0.01,0.24,0,658170304,0,0,0,0,0,0,0,0,1470249,0,0.02,0.03
172,Brunei,0.01,0.04,0,138539232,0,0,0,0,0,0,0,0,0,0.07,0.01,0.02
173,Democratic Republic of the Congo,0.01,0.05,0,1091747968,0,0,0,0,0,0,0,0,0,0,0,0.03
174,Uganda,0,0.01,0,494868800,0,0,0,0,0,0,0,0,0,0,0,0
175,Burkina Faso,0,0,0,1077034880,0,0,2994,0,0,0,0,0,0,0,0,0
176,Benin,0,0,0,236810960,0,0,0,0,0,0,0,0,0,0,0,0
176,Burundi,0,0,0,298352736,0,0,0,0,0,0,0,0,0,0,0,0
176,Central African Republic,0,0,0,90288480,0,0,0,0,0,0,0,0,0,0,0,0
176,Rwanda,0,0,0,247824240,0,0,0,0,0,0,0,0,0,0,0,0
176,South Sudan,0,0,0,557546048,0,0,0,0,0,0,0,0,0,0,0,0
177,Cape Verde,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
177,Curacao,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
177,Federated States of Micronesia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
177,Fiji,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
177,Grenada,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
177,Kiribati,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
177,Maldives,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
177,Marshall Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
177,Mauritius,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
177,Nauru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
177,Palau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
177,Saint Kitts and Nevis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
177,Samoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
177,Sao Tome and Principe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
177,Seychelles,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
177,Solomon Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
177,The Bahamas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
177,Tonga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
177,Tuvalu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
177,Vanuatu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
